run,timestamp,reranker,category,n,final_k,buffer,rerank_window,baseline_hit_rate,reranked_hit_rate,baseline_mrr,reranked_mrr,n_improved,n_worsened,n_unchanged,n_stage1_miss,avg_embed_latency_sec,avg_rerank_latency_sec,faq_corpus_embed_time_sec
1,2026-09-11 17:10:32,jina-reranker-v2,긴질문,10,5,0,5,1.0,1.0,0.825,0.783,1,1,8,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,오타,10,5,0,5,1.0,1.0,1.0,0.92,0,1,9,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,확장,178,5,0,5,1.0,1.0,1.0,0.996,0,1,177,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,전체,235,5,5,10,0.983,0.983,0.961,0.951,5,8,222,0,0.0505,0.01169,0.878
1,2026-09-11 17:10:32,jina-reranker-v2,Easy,9,5,5,10,1.0,1.0,0.87,0.926,1,0,8,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,Hard,9,5,5,10,0.778,0.778,0.722,0.694,1,1,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,Medium,9,5,5,10,0.778,0.889,0.578,0.722,2,0,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,구어체,10,5,5,10,1.0,1.0,1.0,0.883,0,2,8,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,긴질문,10,5,5,10,1.0,1.0,0.825,0.717,1,3,6,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,오타,10,5,5,10,1.0,0.9,1.0,0.9,0,1,9,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,확장,178,5,5,10,1.0,1.0,1.0,0.996,0,1,177,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,전체,235,5,10,15,0.983,0.983,0.961,0.949,4,9,222,0,0.0505,0.01303,0.878
1,2026-09-11 17:10:32,jina-reranker-v2,Easy,9,5,10,15,1.0,1.0,0.87,0.917,1,1,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,Hard,9,5,10,15,0.778,0.778,0.722,0.694,1,1,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,Medium,9,5,10,15,0.778,0.889,0.578,0.722,2,0,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,구어체,10,5,10,15,1.0,1.0,1.0,0.883,0,2,8,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,긴질문,10,5,10,15,1.0,1.0,0.825,0.692,0,3,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,오타,10,5,10,15,1.0,0.9,1.0,0.9,0,1,9,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,확장,178,5,10,15,1.0,1.0,1.0,0.996,0,1,177,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,전체,235,5,15,20,0.983,0.983,0.961,0.949,4,10,221,0,0.0505,0.01511,0.878
1,2026-09-11 17:10:32,jina-reranker-v2,Easy,9,5,15,20,1.0,1.0,0.87,0.917,1,1,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,Hard,9,5,15,20,0.778,0.778,0.722,0.689,1,1,7,0,,,
1,2026-09-11 17:10:32,jina-reranker-v2,Medium,9,5,15,20,0.778,0.889,0.578,0.722,2,0,7,0,,,
