run,timestamp,reranker,category,n,top_k,baseline_top1,reranked_top1,baseline_mrr,reranked_mrr,n_improved,n_worsened,n_unchanged,n_stage1_miss,avg_embed_latency_sec,avg_rerank_latency_sec,faq_corpus_embed_time_sec
1,2026-09-11 15:15:15,jina-reranker-v2,전체,235,5,0.783,0.502,0.881,0.72,21,85,125,4,0.03917,0.01061,0.996
1,2026-09-11 15:15:15,jina-reranker-v2,Easy,9,5,0.778,0.889,0.87,0.917,1,1,7,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,Hard,9,5,0.667,0.667,0.748,0.704,1,1,5,2,,,
1,2026-09-11 15:15:15,jina-reranker-v2,Medium,9,5,0.444,0.444,0.601,0.611,1,0,6,2,,,
1,2026-09-11 15:15:15,jina-reranker-v2,구어체,10,5,1.0,0.8,1.0,0.9,0,2,8,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,긴질문,10,5,0.7,0.6,0.825,0.783,1,1,8,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,오타,10,5,1.0,0.9,1.0,0.92,0,1,9,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,확장,178,5,0.787,0.433,0.892,0.691,17,79,82,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,전체,235,10,0.783,0.502,0.881,0.721,23,88,124,0,0.03917,0.01174,0.996
1,2026-09-11 15:15:15,jina-reranker-v2,Easy,9,10,0.778,0.889,0.87,0.926,1,0,8,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,Hard,9,10,0.667,0.667,0.748,0.719,1,2,6,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,Medium,9,10,0.444,0.556,0.601,0.733,2,0,7,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,구어체,10,10,1.0,0.8,1.0,0.883,0,2,8,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,긴질문,10,10,0.7,0.5,0.825,0.717,1,3,6,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,오타,10,10,1.0,0.9,1.0,0.914,0,1,9,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,확장,178,10,0.787,0.433,0.892,0.691,18,80,80,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,전체,235,15,0.783,0.511,0.881,0.724,21,88,126,0,0.03917,0.01308,0.996
1,2026-09-11 15:15:15,jina-reranker-v2,Easy,9,15,0.778,0.889,0.87,0.917,1,1,7,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,Hard,9,15,0.667,0.667,0.748,0.714,1,3,5,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,Medium,9,15,0.444,0.556,0.601,0.731,2,1,6,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,구어체,10,15,1.0,0.8,1.0,0.883,0,2,8,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,긴질문,10,15,0.7,0.5,0.825,0.692,0,3,7,0,,,
1,2026-09-11 15:15:15,jina-reranker-v2,오타,10,15,1.0,0.9,1.0,0.912,0,1,9,0,,,
