run,timestamp,reranker,category,n,top_k,baseline_top1,reranked_top1,baseline_mrr,reranked_mrr,n_improved,n_worsened,n_unchanged,n_stage1_miss,avg_embed_latency_sec,avg_rerank_latency_sec,faq_corpus_embed_time_sec
1,2026-09-11 13:56:34,jina-reranker-v2,오타,10,5,1.0,0.9,1.0,0.92,0,1,9,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,전체,57,10,0.772,0.719,0.846,0.817,5,8,44,0,0.0327,0.01216,1.029
1,2026-09-11 13:56:34,jina-reranker-v2,Easy,9,10,0.778,0.889,0.87,0.926,1,0,8,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,Hard,9,10,0.667,0.667,0.748,0.719,1,2,6,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,Medium,9,10,0.444,0.556,0.601,0.733,2,0,7,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,구어체,10,10,1.0,0.8,1.0,0.883,0,2,8,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,긴질문,10,10,0.7,0.5,0.825,0.717,1,3,6,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,오타,10,10,1.0,0.9,1.0,0.914,0,1,9,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,전체,57,15,0.772,0.719,0.846,0.809,4,11,42,0,0.0327,0.01567,1.029
1,2026-09-11 13:56:34,jina-reranker-v2,Easy,9,15,0.778,0.889,0.87,0.917,1,1,7,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,Hard,9,15,0.667,0.667,0.748,0.714,1,3,5,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,Medium,9,15,0.444,0.556,0.601,0.731,2,1,6,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,구어체,10,15,1.0,0.8,1.0,0.883,0,2,8,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,긴질문,10,15,0.7,0.5,0.825,0.692,0,3,7,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,오타,10,15,1.0,0.9,1.0,0.912,0,1,9,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,전체,57,20,0.772,0.719,0.846,0.805,4,12,41,0,0.0327,0.02004,1.029
1,2026-09-11 13:56:34,jina-reranker-v2,Easy,9,20,0.778,0.889,0.87,0.917,1,1,7,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,Hard,9,20,0.667,0.667,0.748,0.707,1,3,5,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,Medium,9,20,0.444,0.556,0.601,0.729,2,1,6,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,구어체,10,20,1.0,0.8,1.0,0.875,0,2,8,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,긴질문,10,20,0.7,0.5,0.825,0.687,0,4,6,0,,,
1,2026-09-11 13:56:34,jina-reranker-v2,오타,10,20,1.0,0.9,1.0,0.911,0,1,9,0,,,
